kepoi_name,kepler_name,kepid,ra,dec,koi_period,koi_prad,koi_teq,koi_steff,koi_srad,koi_kepmag,koi_disposition
"K04881.01",,8094120,290.550870,43.994362,5.6795377,1.16,1420.0,6514.00,1.5850,12.892,"CANDIDATE"
"K04885.01",,9935642,283.457640,46.819538,9.33955596,2.67,882.0,5516.00,1.1010,15.030,"CANDIDATE"
"K03271.02",,7285757,292.958190,42.854889,7.41834569,1.12,800.0,5549.00,0.7320,15.717,"CANDIDATE"
"K03202.01",,4262040,291.507200,39.323662,92.461135,2.86,564.0,5132.00,2.6480,11.784,"CANDIDATE"
"K04813.01",,4840672,293.240390,39.949444,9.2294726,0.82,601.0,4781.00,0.5960,13.780,"CANDIDATE"
"K04815.01",,7287677,293.547330,42.828442,18.3721835,1.12,657.0,5937.00,0.8300,14.965,"CANDIDATE"
"K04886.01",,7692248,294.950740,43.324341,17.99562529,28.98,701.0,5999.00,0.9590,15.822,"CANDIDATE"
"K04890.01",,6691169,291.721890,42.117298,63.095068,11.67,573.0,6622.00,1.3250,15.765,"CANDIDATE"
"K01151.05",,8280511,283.002960,44.284229,21.7203362,0.8,594.0,5528.00,0.8530,13.404,"CANDIDATE"
"K04749.01",,6520519,291.211640,41.985600,1.97650073,0.97,1394.0,5792.00,0.9230,15.608,"CANDIDATE"
"K04818.01",,9459162,289.348300,46.054680,3.79892774,1.46,1869.0,6831.00,2.1060,13.008,"CANDIDATE"
"K04820.01",,9969287,298.380070,46.889400,14.7401061,1.48,750.0,5999.00,0.9590,15.479,"CANDIDATE"
"K04891.01",,10747501,297.482970,48.022499,4.7309013,1.39,1065.0,5941.00,0.9110,15.680,"CANDIDATE"
"K04892.01",,10586744,285.706970,47.869968,21.3761817,1.08,717.0,5984.00,1.0520,14.143,"CANDIDATE"
"K04893.01",,11970050,295.081940,50.344601,6.58753699,1.51,992.0,6014.00,0.9930,15.652,"CANDIDATE"
"K04750.01",,5308296,299.491880,40.472481,36.721576,1.93,498.0,5662.00,0.8400,15.919,"CANDIDATE"
"K03203.01",,3122872,292.892180,38.270512,96.81647,3.19,655.0,6404.00,2.4670,11.816,"CANDIDATE"
"K04822.01",,9702945,288.507020,46.406712,3.51413723,0.69,1267.0,6201.00,0.9890,13.474,"CANDIDATE"
"K04823.01",,11401253,290.990050,49.233131,4.96504981,1.51,1403.0,5339.00,2.0110,12.739,"CANDIDATE"
"K04826.01",,10549902,297.213470,47.775429,1.141148847,1.67,2248.0,5438.00,1.9890,14.580,"CANDIDATE"
"K04895.01",,12416597,295.514950,51.203739,12.460565,1.1,726.0,5435.00,0.9330,14.732,"CANDIDATE"
"K04896.01",,11135694,290.900420,48.746140,19.5945772,1.18,724.0,6118.00,1.0230,15.451,"CANDIDATE"
"K04898.01",,10065053,287.348970,47.060982,409.87844,2.72,264.0,6167.00,1.0640,15.731,"CANDIDATE"
"K04754.01",,10291589,297.905270,47.336830,7.08757462,1.28,955.0,6060.00,0.9250,15.274,"CANDIDATE"
"K04755.01",,10118266,280.665190,47.114059,3.74318005,1.75,999.0,5207.00,0.8510,14.924,"CANDIDATE"
"K04756.01",,5695615,288.610570,40.924740,5.4169303,8.17,1173.0,6355.00,1.1080,15.411,"CANDIDATE"
"K04827.01",,5651846,299.468690,40.829990,31.1920226,1.65,521.0,5675.00,0.7770,15.401,"CANDIDATE"
"K04829.01",,12401132,287.701970,51.229729,7.630545,2.26,1087.0,6407.00,1.1790,14.120,"CANDIDATE"
"K04900.01",,6424561,284.578060,41.890259,6.6716723,1.27,1024.0,6086.00,1.0210,15.134,"CANDIDATE"
"K04902.01",,10000162,286.335450,46.917831,409.38645,1.78,197.0,4955.00,0.7990,15.149,"CANDIDATE"
"K04759.01",,7949593,287.773010,43.733910,17.7662938,1.54,670.0,5724.00,0.9460,14.971,"CANDIDATE"
"K04762.01",,7098255,284.610080,42.687431,11.56722589,1.29,568.0,4597.00,0.6910,15.674,"CANDIDATE"
"K07700.01",,4670361,295.736970,39.740452,631.56889,3.13,237.0,6382.00,1.0590,14.000,"CANDIDATE"
"K04833.01",,10584140,284.316930,47.887112,4.31724247,1.01,1332.0,5992.00,1.3100,13.600,"CANDIDATE"
"K04834.01",,8233326,291.794650,44.193531,3.74099144,1.85,1733.0,5110.00,3.2310,13.096,"CANDIDATE"
